address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint,prediction,Discount%,benefits,GoodDeal
duque de pastrana,3,es,flat,,5965,Chamartín,True,,1,False,False,True,False,False,40.4667309,-3.6788611,Madrid,Castilla,False,7,rent,True,True,,3200.0,12.0,8.2726394E7,flat,Madrid,4,False,260.0,good,"Castilla, Madrid",Piso en duque de pastrana,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/56/79/603508787.jpg,https://www.idealista.com/inmueble/82726394/,POINT(-3.6788611 40.4667309),2953.369703832886,-8,-246.630296167114,0
"calle Dos Hermanas, Madrid, 17",2,es,flat,penthouse,724,Centro,True,28-852823,4,False,False,True,False,False,40.410276,-3.7058888,Madrid,Lavapiés-Embajadores,False,30,rent,,,,2000.0,15.0,8.2838135E7,penthouse,Madrid,5,True,137.0,good,"Lavapiés-Embajadores, Madrid","Ático en calle Dos Hermanas, Madrid, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/2d/5b/606098543.jpg,https://www.idealista.com/inmueble/82838135/,POINT(-3.7058888 40.410276),1952.1499871437077,-2,-47.850012856292324,0
"calle de Alcalá, Madrid, 90",1,es,flat,penthouse,2291,Salamanca,False,,6,False,False,True,False,False,40.4233164,-3.6785468,Madrid,Goya,False,13,rent,,,,1200.0,17.0,8.309874E7,penthouse,Madrid,1,True,70.0,good,"Goya, Madrid","Ático en calle de Alcalá, Madrid, 90",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/8f/2f/27/611538796.jpg,https://www.idealista.com/inmueble/83098740/,POINT(-3.6785468 40.4233164),1365.0204035685185,12,165.02040356851853,1
"calle Rosa Menéndez, Madrid, 26",1,es,flat,,4925,Tetuán,True,Rosa Menéndez,1,False,False,True,False,False,40.4608846,-3.7073534,Madrid,Berruguete,False,6,rent,,,,780.0,20.0,8.3020845E7,flat,Madrid,1,True,40.0,good,"Berruguete, Madrid","Piso en calle Rosa Menéndez, Madrid, 26",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/36/67/611834418.jpg,https://www.idealista.com/inmueble/83020845/,POINT(-3.7073534 40.4608846),735.35630192806,-6,-44.64369807193998,0
"calle del Prado, 29",1,es,flat,,592,Centro,True,,3,False,False,True,False,False,40.4153679,-3.6973695,Madrid,Huertas-Cortes,False,17,rent,,,,1200.0,24.0,8.3282273E7,flat,Madrid,1,True,50.0,good,"Huertas-Cortes, Madrid","Piso en calle del Prado, 29",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/fa/2a/614943206.jpg,https://www.idealista.com/inmueble/83282273/,POINT(-3.6973695 40.4153679),1194.2515077630037,0,-5.748492236996299,0
calle de Claudio Coello,4,es,flat,penthouse,1935,Salamanca,True,994,5,False,False,True,False,False,40.4274814,-3.6862596,Madrid,Castellana,False,56,rent,True,True,,3950.0,16.0,8.1345556E7,penthouse,Madrid,4,False,240.0,good,"Castellana, Madrid",Ático en calle de Claudio Coello,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/4d/e6/593203125.jpg,https://www.idealista.com/inmueble/81345556/,POINT(-3.6862596 40.4274814),3599.845298287529,-10,-350.1547017124708,0
barrio Castilla,4,es,flat,,6483,Chamartín,True,A16700,1,False,False,True,False,False,40.4713023,-3.6774186,Madrid,Castilla,False,43,rent,True,True,,3700.0,19.0,8.3423794E7,flat,Madrid,4,False,200.0,good,"Castilla, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/21/9d/618514376.jpg,https://www.idealista.com/inmueble/83423794/,POINT(-3.6774186 40.4713023),2826.5435159363483,-31,-873.4564840636517,0
barrio Recoletos,2,es,flat,penthouse,2051,Salamanca,True,150037,7,False,False,True,True,False,40.4237558,-3.6817995,Madrid,Recoletos,False,24,rent,,,,3300.0,14.0,4.039749E7,penthouse,Madrid,3,False,230.0,good,"Recoletos, Madrid",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/50/7d/279509808.jpg,https://www.idealista.com/inmueble/40397490/,POINT(-3.6817995 40.4237558),3209.18232852623,-3,-90.81767147377013,0
cronos,1,es,flat,duplex,7554,San Blas,True,Cronos Duplex,4,False,False,True,False,False,40.4396137,-3.6201516,Madrid,Simancas,False,13,rent,True,True,,900.0,13.0,8.2617639E7,duplex,Madrid,1,False,70.0,good,"Simancas, Madrid",Dúplex en cronos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/86/48/615135408.jpg,https://www.idealista.com/inmueble/82617639/,POINT(-3.6201516 40.4396137),894.3769374046183,-1,-5.623062595381725,0
"calle de la Ballesta, Madrid",1,es,flat,,679,Centro,False,Richard Telf: 689370919.,-1,False,False,False,False,False,40.4225412,-3.7020117,Madrid,Malasaña-Universidad,False,17,rent,,,,900.0,30.0,8.3294073E7,flat,Madrid,2,False,30.0,good,"Malasaña-Universidad, Madrid","Piso en calle de la Ballesta, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/d6/f8/615157612.jpg,https://www.idealista.com/inmueble/83294073/,POINT(-3.7020117 40.4225412),927.9175944577911,3,27.917594457791097,1
calle de Santa Cruz de Marcenado,1,es,flat,,1687,Centro,True,STC,3,False,False,True,False,False,40.4311329,-3.710155,Madrid,Malasaña-Universidad,False,17,rent,,,,1350.0,12.0,8.2388158E7,flat,Madrid,2,False,110.0,good,"Malasaña-Universidad, Madrid",Piso en calle de Santa Cruz de Marcenado,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/c9/6e/597144333.jpg,https://www.idealista.com/inmueble/82388158/,POINT(-3.710155 40.4311329),1579.8240737559472,15,229.8240737559472,1
calle de la Flora,1,es,flat,,515,Centro,True,JSC-A-3382,1,False,False,True,False,False,40.4198985,-3.7085094,Madrid,Sol,False,30,rent,,,,2500.0,15.0,8.343111E7,flat,Madrid,1,False,170.0,good,"Sol, Madrid",Piso en calle de la Flora,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/d9/9b/617881567.jpg,https://www.idealista.com/inmueble/83431110/,POINT(-3.7085094 40.4198985),1963.777313039949,-27,-536.2226869600511,0
"calle de José Ortega y Gasset, Madrid",2,es,flat,,3043,Salamanca,True,W-02DY9Y,3,False,False,True,True,False,40.4281039,-3.6715093,Madrid,Lista,False,29,rent,True,True,,2900.0,19.0,8.2739615E7,flat,Madrid,2,False,154.0,good,"Lista, Madrid","Piso en calle de José Ortega y Gasset, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/a8/ae/603774954.jpg,https://www.idealista.com/inmueble/82739615/,POINT(-3.6715093 40.4281039),2430.5873087506793,-19,-469.4126912493207,0
FRANCISCO SANCHA,2,es,flat,,8162,Fuencarral,True,03972,3,False,False,True,True,True,40.4888685,-3.6868405,Madrid,Tres Olivos - Valverde,False,25,rent,True,True,,1000.0,10.0,8.3230669E7,flat,Madrid,2,False,105.0,good,"Tres Olivos - Valverde, Madrid",Piso en FRANCISCO SANCHA,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/bd/60/614009925.jpg,https://www.idealista.com/inmueble/83230669/,POINT(-3.6868405 40.4888685),1201.2672039024574,17,201.26720390245737,1
"calle rafael calvo, 22",2,es,flat,,2114,Chamberí,True,,4,False,False,True,False,False,40.433909,-3.6936448,Madrid,Almagro,False,32,rent,,,,2000.0,12.0,3.1238824E7,flat,Madrid,3,True,163.0,good,"Almagro, Madrid","Piso en calle rafael calvo, 22",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/c5/e8/595499553.jpg,https://www.idealista.com/inmueble/31238824/,POINT(-3.6936448 40.433909),2426.2815608082155,18,426.28156080821554,1
barrio Almagro,4,es,flat,,1777,Chamberí,True,slpp29,1,False,False,True,False,False,40.4306061,-3.6939052,Madrid,Almagro,False,30,rent,,,,4000.0,13.0,8.2422732E7,flat,Madrid,3,False,319.0,good,"Almagro, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/27/e5/604914634.jpg,https://www.idealista.com/inmueble/82422732/,POINT(-3.6939052 40.4306061),3790.608836580911,-6,-209.39116341908903,0
"avenida Ciudad de Barcelona, Madrid",1,es,flat,,2676,Retiro,True,04455,1,False,False,False,False,False,40.4011427,-3.6799937,Madrid,Pacífico,False,25,rent,,,,1000.0,16.0,8.3227656E7,flat,Madrid,2,False,61.0,good,"Pacífico, Madrid","Piso en avenida Ciudad de Barcelona, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/eb/09/f6/613947207.jpg,https://www.idealista.com/inmueble/83227656/,POINT(-3.6799937 40.4011427),845.468258996423,-18,-154.53174100357705,0
"calle Francisco Sancha, 22",2,es,flat,penthouse,7999,Fuencarral,True,,3,False,False,True,False,False,40.4875685,-3.6882405,Madrid,Tres Olivos - Valverde,False,19,rent,True,False,100.0,1000.0,10.0,8.2296826E7,penthouse,Madrid,2,True,105.0,good,"Tres Olivos - Valverde, Madrid","Ático en calle Francisco Sancha, 22",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/ed/ac/614930558.jpg,https://www.idealista.com/inmueble/82296826/,POINT(-3.6882405 40.4875685),1172.2833784138934,15,172.2833784138934,1
barrio Opañel,1,es,flat,,2769,Carabanchel,False,VI-000-030-686-778,0,False,False,False,False,False,40.3950805,-3.720501,Madrid,Opañel,False,15,rent,,,,575.0,9.0,8.1640855E7,flat,Madrid,2,False,61.0,good,"Opañel, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/18/17/581392872.jpg,https://www.idealista.com/inmueble/81640855/,POINT(-3.720501 40.3950805),468.69818675945817,-23,-106.30181324054183,0
barrio Sol,2,es,flat,,356,Centro,True,,1,False,False,True,False,False,40.4194985,-3.7061094,Madrid,Sol,False,33,rent,,,,2500.0,15.0,8.2243663E7,flat,Madrid,1,False,170.0,good,"Sol, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/81/23/594128501.jpg,https://www.idealista.com/inmueble/82243663/,POINT(-3.7061094 40.4194985),2189.0904557583617,-14,-310.9095442416383,0
"calle del Mesón de Paredes, 54",1,es,flat,,832,Centro,True,,2,False,False,False,False,False,40.4091699,-3.7038218,Madrid,Lavapiés-Embajadores,False,7,rent,,,,500.0,14.0,8.3017343E7,flat,Madrid,1,True,35.0,good,"Lavapiés-Embajadores, Madrid","Piso en calle del Mesón de Paredes, 54",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/d2/1c/609891336.jpg,https://www.idealista.com/inmueble/83017343/,POINT(-3.7038218 40.4091699),791.6148035834981,37,291.6148035834981,1
calle de Velazquez,1,es,flat,,2156,Salamanca,True,1820,6,False,False,True,False,False,40.4266043,-3.6822922,Madrid,Recoletos,False,5,rent,,,,1574.0,23.0,2.7286715E7,flat,Madrid,1,False,69.0,good,"Recoletos, Madrid",Piso en calle de Velazquez,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/47/8a/118730800.jpg,https://www.idealista.com/inmueble/27286715/,POINT(-3.6822922 40.4266043),1707.3174723137988,8,133.31747231379882,1
barrio Goya,1,es,flat,,2773,Salamanca,True,,1,False,False,True,False,False,40.4228446,-3.6724179,Madrid,Goya,False,7,rent,,,,950.0,12.0,8.3018775E7,flat,Madrid,2,False,80.0,good,"Goya, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/02/55/609915833.jpg,https://www.idealista.com/inmueble/83018775/,POINT(-3.6724179 40.4228446),1508.6942441781323,37,558.6942441781323,1
"paseo de la Castellana, 157",1,es,flat,studio,5041,Tetuán,True,AIDE77400050071,2,False,False,True,False,True,40.4609259,-3.6912974,Madrid,Cuzco-Castillejos,False,20,rent,,,,1105.0,19.0,3.7142342E7,studio,Madrid,0,True,59.0,good,"Cuzco-Castillejos, Madrid","Estudio en paseo de la Castellana, 157",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/b1/08/218648726.jpg,https://www.idealista.com/inmueble/37142342/,POINT(-3.6912974 40.4609259),768.3459450430034,-44,-336.65405495699656,0
barrio Bellas Vistas,2,es,flat,duplex,3900,Tetuán,True,A080,3,False,False,True,False,False,40.4517271,-3.7049846,Madrid,Bellas Vistas,False,17,rent,True,False,51.0,999.0,14.0,8.2494362E7,duplex,Madrid,2,False,69.0,good,"Bellas Vistas, Madrid",Dúplex,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/3c/16/574812833.jpg,https://www.idealista.com/inmueble/82494362/,POINT(-3.7049846 40.4517271),1270.4392795924596,21,271.43927959245957,1
"calle del General Díaz Porlier, Madrid",2,es,flat,,2640,Salamanca,True,,1,False,False,True,False,False,40.4278033,-3.6766182,Madrid,Lista,False,25,rent,,,,1900.0,17.0,8.2985828E7,flat,Madrid,3,False,111.0,good,"Lista, Madrid","Piso en calle del General Díaz Porlier, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/c4/f6/609771027.jpg,https://www.idealista.com/inmueble/82985828/,POINT(-3.6766182 40.4278033),1989.4949919840203,4,89.49499198402032,1
calle de Godella,1,es,flat,,8202,Villaverde,False,235-VI-000-030-687-145,0,False,False,False,False,False,40.3438294,-3.6887233,Madrid,San Cristóbal,False,13,rent,,,,460.0,7.0,8.166693E7,flat,Madrid,3,False,65.0,good,"San Cristóbal, Madrid",Piso en calle de Godella,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/09/9f/581928103.jpg,https://www.idealista.com/inmueble/81666930/,POINT(-3.6887233 40.3438294),629.7181008632145,27,169.71810086321454,1
barrio Quintana,1,es,flat,penthouse,5943,Ciudad Lineal,True,J 1581,3,False,False,True,False,False,40.4403953,-3.6412433,Madrid,Quintana,False,17,rent,True,False,150.0,1350.0,13.0,8.3276773E7,penthouse,Madrid,1,False,105.0,good,"Quintana, Madrid",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/6a/0e/614869174.jpg,https://www.idealista.com/inmueble/83276773/,POINT(-3.6412433 40.4403953),1166.9950326745497,-16,-183.00496732545025,0
barrio San Cristóbal,1,es,flat,,8422,Villaverde,False,VI-000-030-687-145,0,False,False,False,False,False,40.3419817,-3.6874372,Madrid,San Cristóbal,False,14,rent,,,,460.0,7.0,4.0286539E7,flat,Madrid,3,False,65.0,good,"San Cristóbal, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/26/64/277312525.jpg,https://www.idealista.com/inmueble/40286539/,POINT(-3.6874372 40.3419817),629.7181008632145,27,169.71810086321454,1
"MARQUES DE LA ENSENADA, 16",1,es,flat,,1402,Centro,True,4055,11,False,False,True,False,False,40.4252675,-3.6920496,Madrid,Chueca-Justicia,False,8,rent,,,,1850.0,21.0,3.711716E7,flat,Madrid,1,True,90.0,good,"Chueca-Justicia, Madrid","Piso en MARQUES DE LA ENSENADA, 16",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/a7/2e/598665736.jpg,https://www.idealista.com/inmueble/37117160/,POINT(-3.6920496 40.4252675),1623.2950787460406,-14,-226.70492125395936,0
"calle Julio Palacios, 37",2,es,flat,,7450,Fuencarral,True,,1,False,False,True,False,False,40.4833557,-3.6957104,Madrid,La Paz,False,4,rent,True,False,100.0,1150.0,9.0,8.2871849E7,flat,Madrid,3,True,134.0,good,"La Paz, Madrid","Piso en calle Julio Palacios, 37",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/83/61/606759698.jpg,https://www.idealista.com/inmueble/82871849/,POINT(-3.6957104 40.4833557),1492.2308029496626,23,342.2308029496626,1
"avenida de la Ciudad de Barcelona, 95",1,es,flat,,3302,Retiro,True,,3,False,False,True,False,False,40.3999953,-3.6718689,Madrid,Adelfas,False,9,rent,,,,1075.0,32.0,3.9052551E7,flat,Madrid,1,True,34.0,good,"Adelfas, Madrid","Piso en avenida de la Ciudad de Barcelona, 95",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/29/6b/252948974.jpg,https://www.idealista.com/inmueble/39052551/,POINT(-3.6718689 40.3999953),710.4537960133982,-51,-364.54620398660177,0
"calle del Pelicano, 2",1,es,flat,,4085,Carabanchel,True,,3,False,False,False,False,False,40.3836404,-3.7253391,Madrid,Abrantes,False,5,rent,,,,725.0,10.0,4.0512115E7,flat,Madrid,3,True,70.0,good,"Abrantes, Madrid","Piso en calle del Pelicano, 2",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/6b/c6/618476829.jpg,https://www.idealista.com/inmueble/40512115/,POINT(-3.7253391 40.3836404),609.114647347573,-19,-115.88535265242695,0
"calle del Príncipe de Vergara, Madrid",2,es,flat,,2917,Salamanca,True,,7,False,False,True,False,False,40.4334886,-3.6777221,Madrid,Lista,False,27,rent,,,,1700.0,13.0,8.3433039E7,flat,Madrid,3,False,130.0,good,"Lista, Madrid","Piso en calle del Príncipe de Vergara, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/74/a7/617913962.jpg,https://www.idealista.com/inmueble/83433039/,POINT(-3.6777221 40.4334886),2104.7283185380934,19,404.7283185380934,1
"calle de Rafael Villa, Madrid",3,es,flat,,11819,Moncloa,True,W-02CVL3,1,False,False,True,True,False,40.4710131,-3.8241963,Madrid,El Plantío,False,27,rent,True,True,,1950.0,13.0,8.3330878E7,flat,Madrid,4,False,150.0,good,"El Plantío, Madrid","Piso en calle de Rafael Villa, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/04/03/615915574.jpg,https://www.idealista.com/inmueble/83330878/,POINT(-3.8241963 40.4710131),2044.629379179297,5,94.62937917929708,1
"calle de Ramiro II, Madrid",2,es,flat,,3151,Chamberí,True,W-02DYGK,5,False,False,True,True,False,40.4449861,-3.7031654,Madrid,Vallehermoso,False,25,rent,True,True,,1800.0,16.0,8.2985238E7,flat,Madrid,2,False,110.0,good,"Vallehermoso, Madrid","Piso en calle de Ramiro II, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/61/39/609216321.jpg,https://www.idealista.com/inmueble/82985238/,POINT(-3.7031654 40.4449861),1910.5132722265323,6,110.51327222653231,1
antonio Pérez,1,es,flat,,3378,Chamartín,True,03567,4,False,False,True,True,True,40.4421879,-3.6825166,Madrid,El Viso,False,24,rent,,,,1099.0,12.0,8.297192E7,flat,Madrid,2,False,90.0,good,"El Viso, Madrid",Piso en antonio Pérez,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/10/a0/608937852.jpg,https://www.idealista.com/inmueble/82971920/,POINT(-3.6825166 40.4421879),1723.859491562711,36,624.8594915627109,1
Encinar de los Reyes,4,es,flat,penthouse,11372,Encinar de los Reyes,False,A4309I,2,False,False,True,False,False,40.5072046,-3.6416472,La Moraleja,,False,40,rent,True,True,,3400.0,17.0,2.8210681E7,penthouse,Madrid,5,False,200.0,good,"Encinar de los Reyes, La Moraleja",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/a9/7b/614593917.jpg,https://www.idealista.com/inmueble/28210681/,POINT(-3.6416472 40.5072046),2482.125897063023,-37,-917.8741029369771,0
"juan Sanchez, Madrid, 17",1,es,flat,,6638,Fuencarral,True,IdealJuanSánchez17,1,False,False,True,True,False,40.47523,-3.71937,Madrid,Peñagrande,False,13,rent,,,,1100.0,16.0,8.2614794E7,flat,Madrid,1,True,68.0,good,"Peñagrande, Madrid","Piso en juan Sanchez, Madrid, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/af/8e/601323451.jpg,https://www.idealista.com/inmueble/82614794/,POINT(-3.71937 40.47523),915.9696319898745,-20,-184.03036801012547,0
Encinar de los Reyes,6,es,flat,penthouse,11635,Encinar de los Reyes,True,MOA01904,2,False,False,True,False,False,40.5104046,-3.6430472,La Moraleja,,False,22,rent,True,True,,3400.0,17.0,8.2518335E7,penthouse,Madrid,5,False,200.0,good,"Encinar de los Reyes, La Moraleja",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/7b/46/599345804.jpg,https://www.idealista.com/inmueble/82518335/,POINT(-3.6430472 40.5104046),3049.9975149807005,-11,-350.00248501929946,0
calle Cañizares,1,es,flat,,263,Centro,True,E9B7,2,False,False,True,True,False,40.4146302,-3.7025403,Madrid,Lavapiés-Embajadores,False,7,rent,,,,975.0,18.0,8.2824206E7,flat,Madrid,1,False,54.0,good,"Lavapiés-Embajadores, Madrid",Piso en calle Cañizares,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/d3/c1/605760025.jpg,https://www.idealista.com/inmueble/82824206/,POINT(-3.7025403 40.4146302),1121.535927849067,13,146.5359278490671,1
barrio Nueva España,2,es,chalet,,5242,Chamartín,False,BGA-00044,0,False,False,False,False,False,40.4589034,-3.6766726,Madrid,Nueva España,False,9,rent,True,True,,2800.0,22.0,8.2773386E7,chalet,Madrid,3,False,130.0,good,"Nueva España, Madrid",Chalet,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/16/7d/604651085.jpg,https://www.idealista.com/inmueble/82773386/,POINT(-3.6766726 40.4589034),1644.2692615843314,-70,-1155.7307384156686,0
